,Name,Authors,ISBN,ID,genres,pagesNumber,averageRating,userRating
4650,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,357,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,4
4653,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,1273,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,5
4660,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,4667,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,4
4659,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,5383,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,5
4658,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,1910,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,5
18578,"Where's My Hero? (The Gamblers of Craven's #2.5; Brotherhood - MacAllister's, #4.5; Splendid, #3.5)",Lisa Kleypas,0060505249,4806,Romance Historical Romance Romance Historical Anthologies Historical Regency Historical Historical Fiction Short Stories Fiction Adult Novella,375.0,3.84,2
15021,The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,0060507772,4934,Fantasy Fiction Humor Humor Comedy Sequential Art Graphic Novels Science Fiction Fantasy Fantasy Magic Adventure Sequential Art Comics Fantasy Comic Fantasy,176.0,4.17,5
15023,The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,0060507772,73,Fantasy Fiction Humor Humor Comedy Sequential Art Graphic Novels Science Fiction Fantasy Fantasy Magic Adventure Sequential Art Comics Fantasy Comic Fantasy,176.0,4.17,4
15017,The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,0060507772,4933,Fantasy Fiction Humor Humor Comedy Sequential Art Graphic Novels Science Fiction Fantasy Fantasy Magic Adventure Sequential Art Comics Fantasy Comic Fantasy,176.0,4.17,3
15020,The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,0060507772,1086,Fantasy Fiction Humor Humor Comedy Sequential Art Graphic Novels Science Fiction Fantasy Fantasy Magic Adventure Sequential Art Comics Fantasy Comic Fantasy,176.0,4.17,3
15016,The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,0060507772,553,Fantasy Fiction Humor Humor Comedy Sequential Art Graphic Novels Science Fiction Fantasy Fantasy Magic Adventure Sequential Art Comics Fantasy Comic Fantasy,176.0,4.17,4
15022,The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,0060507772,5383,Fantasy Fiction Humor Humor Comedy Sequential Art Graphic Novels Science Fiction Fantasy Fantasy Magic Adventure Sequential Art Comics Fantasy Comic Fantasy,176.0,4.17,5
15019,The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,0060507772,4666,Fantasy Fiction Humor Humor Comedy Sequential Art Graphic Novels Science Fiction Fantasy Fantasy Magic Adventure Sequential Art Comics Fantasy Comic Fantasy,176.0,4.17,4
15018,The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,0060507772,4089,Fantasy Fiction Humor Humor Comedy Sequential Art Graphic Novels Science Fiction Fantasy Fantasy Magic Adventure Sequential Art Comics Fantasy Comic Fantasy,176.0,4.17,3
11426,The Birthday of the World and Other Stories,Ursula K. Le Guin,0060509066,1326,Science Fiction Short Stories Fiction Fantasy Speculative Fiction Anthologies Science Fiction Fantasy Feminism GLBT Queer Anthologies Collections,362.0,4.3,4
15295,"The Magicians of Caprona (Chrestomanci, #4)",Diana Wynne Jones,0060511567,1166,Fantasy Young Adult Fiction Childrens Fantasy Magic Childrens Middle Grade Adventure Science Fiction Fantasy Audiobook Young Adult Young Adult Fantasy,288.0,3.93,4
15244,"The Lives of Christopher Chant (Chrestomanci, #2)",Diana Wynne Jones,0060511605,1166,Fantasy Young Adult Fiction Childrens Fantasy Magic Childrens Middle Grade Young Adult Young Adult Fantasy Adventure Science Fiction Fantasy Audiobook,336.0,4.24,4
18678,"Witch Week (Chrestomanci, #3)",Diana Wynne Jones,0060511710,1166,Fantasy Young Adult Fiction Childrens Fantasy Magic Childrens Middle Grade Paranormal Witches Young Adult Young Adult Fantasy Science Fiction Fantasy Audiobook,288.0,3.92,4
620,A Light in the Attic,Shel Silverstein,0060513063,2129,Poetry Childrens Classics Fiction Humor Young Adult Childrens Picture Books Childrens Juvenile Childrens Middle Grade Literature Banned Books,176.0,4.35,2
618,A Light in the Attic,Shel Silverstein,0060513063,1845,Poetry Childrens Classics Fiction Humor Young Adult Childrens Picture Books Childrens Juvenile Childrens Middle Grade Literature Banned Books,176.0,4.35,4
