,Name,Authors,ISBN,ID,genres,pagesNumber,averageRating,userRating
15288,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,0060764902,4696,Fantasy Classics Fiction Young Adult Childrens Adventure Christian Childrens Middle Grade Christian Fiction Fantasy Magic,221.0,4.04,5
8223,"Prince Caspian (Chronicles of Narnia, #4)",C.S. Lewis,0060764929,4696,Fantasy Classics Fiction Young Adult Childrens Adventure Christian Childrens Middle Grade Christian Fiction Science Fiction Fantasy,304.0,3.98,4
2681,City of the Beasts,Isabel Allende,0060776455,1845,Fantasy Young Adult Fiction Adventure Magical Realism European Literature Spanish Literature Novels Childrens Mystery Romance,453.0,3.71,5
18937,Zorro,Isabel Allende,006078721X,3686,Historical Historical Fiction Fiction Adventure Historical Romance European Literature Spanish Literature Novels Classics Adult Magical Realism,677.0,3.76,4
18932,Zorro,Isabel Allende,006078721X,1845,Historical Historical Fiction Fiction Adventure Historical Romance European Literature Spanish Literature Novels Classics Adult Magical Realism,677.0,3.76,4
18934,Zorro,Isabel Allende,006078721X,4763,Historical Historical Fiction Fiction Adventure Historical Romance European Literature Spanish Literature Novels Classics Adult Magical Realism,677.0,3.76,2
18935,Zorro,Isabel Allende,006078721X,4413,Historical Historical Fiction Fiction Adventure Historical Romance European Literature Spanish Literature Novels Classics Adult Magical Realism,677.0,3.76,4
18938,Zorro,Isabel Allende,006078721X,4806,Historical Historical Fiction Fiction Adventure Historical Romance European Literature Spanish Literature Novels Classics Adult Magical Realism,677.0,3.76,2
18936,Zorro,Isabel Allende,006078721X,341,Historical Historical Fiction Fiction Adventure Historical Romance European Literature Spanish Literature Novels Classics Adult Magical Realism,677.0,3.76,4
18933,Zorro,Isabel Allende,006078721X,1133,Historical Historical Fiction Fiction Adventure Historical Romance European Literature Spanish Literature Novels Classics Adult Magical Realism,677.0,3.76,5
15849,The Mysteries of Pittsburgh,Michael Chabon,0060790598,3854,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15843,The Mysteries of Pittsburgh,Michael Chabon,0060790598,5543,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,2
15838,The Mysteries of Pittsburgh,Michael Chabon,0060790598,617,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,3
15860,The Mysteries of Pittsburgh,Michael Chabon,0060790598,1354,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,5
15839,The Mysteries of Pittsburgh,Michael Chabon,0060790598,4806,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15836,The Mysteries of Pittsburgh,Michael Chabon,0060790598,4782,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15846,The Mysteries of Pittsburgh,Michael Chabon,0060790598,2904,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,3
15851,The Mysteries of Pittsburgh,Michael Chabon,0060790598,650,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15861,The Mysteries of Pittsburgh,Michael Chabon,0060790598,3670,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
15852,The Mysteries of Pittsburgh,Michael Chabon,0060790598,5231,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,3
15844,The Mysteries of Pittsburgh,Michael Chabon,0060790598,5531,Fiction Novels LGBT Contemporary Literature Young Adult Coming Of Age Literary Fiction GLBT Queer Literature American LGBT Gay,320.0,3.64,4
